gene,interaction_type,score,drug_name
CYP2D6,NULL,0.017709164,RACLOPRIDE
PPARG,NULL,0.84012274,CHEMBL:CHEMBL1833984
ATAD5,NULL,0.177992106,CHEMBL:CHEMBL91609
RGS4,NULL,0.034318739,"3,4-DICHLOROISOCOUMARIN"
MAPK1,NULL,0.050007306,WITHAFERIN A
AGTR1,NULL,0.667470397,ANGIOTENSIN II
KDR,NULL,0.026412309,NERATINIB
PARP1,NULL,2.100306849,CEP-9722
NUDT2,agonist,0.230296804,ETORPHINE
DTNB,inhibitor,1.875273973,COMPOUND 8E [PMID: 24432909]
F10,inhibitor,0.357195042,GDC-0339
RYR3,activator,1.640864726,RYANODINE
KIT,NULL,1.029066007,IMATINIB
CCL4,NULL,3.182283105,CLODRONIC ACID
CSF2,NULL,0.070010228,PLATINUM
BAZ2B,NULL,0.00767656,OXYTETRACYCLINE ANHYDROUS
JUN,NULL,0.570735557,BENZENETHIOL
EHMT2,NULL,0.012253832,CHEMBL:CHEMBL590168
CSNK2A3,NULL,0.724243741,CISPLATIN
ADRB1,NULL,1.790034247,ARBUTAMINE
SCN10A,NULL,0.230296804,DIBUCAINE
AGTR1,NULL,0.889960529,CHEMBL:CHEMBL347610
AQP1,agonist,0.690890411,[125I]TYR11-SRIF-14
FGFR3,NULL,0.154759452,NINTEDANIB ESYLATE
ADRB3,agonist,0.16669102,DIPIVEFRIN HYDROCHLORIDE
PLG,activator,1.250182648,LANOTEPLASE
KCND3,blocker,1.093909817,VERNAKALANT HYDROCHLORIDE
RPL28,inhibitor,0.129648571,MT-3724
ESR1,inhibitor,0.056622219,TAMOXIFEN
POLK,NULL,0.201178817,MAREIN
GPR55,NULL,0.546954909,PHENOLPHTHALEIN
CYP2D6,NULL,0.017709164,TETRABENAZINE
HIF1A,NULL,0.090530468,NOSCAPINE
DRD2,NULL,0.103770101,REMOXIPRIDE
ANXA2P1,agonist,2.917092846,NEUROPEPTIDE B-29
PRMT1,inhibitor,6.563458904,RM65
FGFR1,NULL,0.1090502,AVUTOMETINIB
HDAC9,inhibitor,0.269270109,ABEXINOSTAT
NR3C1,NULL,0.011452055,DACTINOMYCIN
RAB40B,NULL,7.501095891,AMSILAROTENE
F10,inhibitor,0.214317025,SGI-1776
CACNA1D,inhibitor,0.244221727,AMLODIPINE BESYLATE
NR1H4,NULL,0.760980743,THEONELLASTEROL E
SMAD3,NULL,0.07643038,CHEMBL:CHEMBL601367
CSF1R,NULL,0.00809055,CENISERTIB
CAMK2D,NULL,0.043756393,LINIFANIB
IL6R,NULL,1.615620653,BAZEDOXIFENE
RPS6KB1,NULL,0.019440086,TOZASERTIB
HIPK4,NULL,0.036087747,CYC-116
NSD2,NULL,0.252440727,CHEMBL:CHEMBL1504679
EHMT2,NULL,0.020423054,S-NITROSOGLUTATHIONE
CYP2C9,NULL,0.009349657,E324
PTGS1,NULL,0.164086473,NABUMETONE
AQP3,agonist,1.093909817,"[SAR9,MET(O2)11]SP"
AVPR1A,agonist,0.760980743,VASOPRESSIN TANNATE
HMGCR,inhibitor,2.917092846,PITAVASTATIN MAGNESIUM
KDM4A,NULL,0.019844169,CARBETAPENTANE CITRATE
CD274,immunotherapy,0.617737309,ANTI-PD-L1 MONOCLONAL ANTIBODY MDX-1105
CD274,antibody,0.617737309,ANTI-PD-L1 MONOCLONAL ANTIBODY MDX-1105
GCNT2,inhibitor,1.640864726,BIX-01294
PAK4,NULL,2.187819635,PADNARSERTIB
ERBB2,NULL,0.345445205,BMS-599626
KIT,inhibitor,0.040814358,ENMD-2076
ASAH1,blocker,0.228294223,PICROTOXIN
GRIN2D,blocker,0.555636733,CNS-5161
EDN1,NULL,2.917092846,THIOURACIL
KLK3,NULL,0.583418569,BCG VACCINE
LEP,NULL,0.182318303,LAMIVUDINE
CYP2C9,NULL,0.017363648,AM404
KAT2A,NULL,0.13781541,N-ARACHIDONYL-&GAMMA;-AMINOBUTYRIC ACID
RAD52,NULL,0.149169521,CHEMBL:CHEMBL1415258
PPARD,NULL,1.579178082,CER-002
CRHR2,NULL,0.937636986,CORTICOTROPIN-RELEASING FACTOR
GABRP,NULL,0.09969811,CLOTIAZEPAM
CD8B,inhibitor,0.083478015,BUPROPION HYDROCHLORIDE
MAP2K2,inhibitor,0.18081154,SELUMETINIB
PTGS1,NULL,0.089501712,MESALAMINE
FPR1,NULL,1.166837139,REBAMIPIDE
CFTR,NULL,1.193356164,NAVOCAFTOR
PTK2B,inhibitor,0.060077427,GILTERITINIB
C10orf67,NULL,1.193356164,MITOXANTRONE
MAP2K1,inhibitor,0.173636479,CI-1040
GLP1R,NULL,0.035358701,CHEMBL:CHEMBL259615
PIK3R6,inhibitor,0.291709285,BUPARLISIB HYDROCHLORIDE
RARG,NULL,0.298905149,RETINOIC ACID AGENT
BTK,NULL,0.405585102,IBRUTINIB
IGF1R,NULL,0.495355389,CHEMBL:CHEMBL459729
