umls_code,mesh_code
C0000737,D015746
C0000744,D000012
C0000768,D000013
C0000771,D000014
C0000772,D000015
C0000786,D000022
C0000809,D000026
C0000821,D000033
C0000822,D000022
C0000832,D000037
C0001080,D000130
C0001122,D000138
C0001125,D000140
C0001126,D000141
C0001144,D000152
C0001175,D000163
C0001193,D000168
C0001197,D000169
C0001206,D000172
C0001231,D000182
C0001338,D020803
C0001349,D000210
C0001364,D047508
C0001403,D000224
C0001418,D000230
C0001430,D000236
C0001546,D000275
C0001614,D000303
C0001618,D000306
C0001621,D000307
C0001623,D000309
C0001624,D000310
C0001627,D000312
C0001723,D000341
C0001733,D000347
C0001768,D000361
C0001787,D010024
C0001815,D055728
C0001824,D000380
C0001828,D000382
C0001849,D015526
C0001883,D000402
C0001890,D004832
C0001916,D000417
C0001925,D000419
C0001956,D000437
C0001957,D000430
C0001969,D000435
C0001973,D000437
C0002018,D004410
C0002063,D000471
C0002066,D000474
C0002152,D003921
C0002170,D000505
C0002171,D000506
C0002312,D017085
C0002382,D016301
C0002390,D000542
C0002395,D000544
C0002448,D000564
C0002452,D000567
C0002453,D000568
C0002514,D000592
C0002622,D000647
C0002624,D000648
C0002631,D002821
C0002726,D000686
C0002735,D009468
C0002736,D000690
C0002768,D000699
C0002792,D000707
C0002793,D000708
C0002871,D000740
C0002874,D000741
C0002875,D017086
C0002876,D000742
C0002878,D000743
C0002879,D000743
C0002880,D000744
C0002881,D000745
C0002882,D000746
C0002883,D000744
C0002884,D000747
C0002886,D000748
C0002888,D000749
C0002889,D000743
C0002891,D000751
C0002893,D000753
C0002894,D000754
C0002895,D000755
C0002896,D000756
C0002897,D006971
C0002902,D000757
C0002938,D000782
C0002940,D000783
C0002949,D000094665
C0002962,D000787
C0002965,D000789
C0002985,D000794
C0002986,D000795
C0002991,D018219
C0002994,D000799
C0003076,D015783
C0003081,D015858
C0003090,D000844
C0003119,D000853
C0003123,D000855
C0003125,D000856
C0003126,D000086582
C0003128,D000858
C0003129,D000860
C0003130,D000860
C0003132,D002534
C0003165,D055008
C0003257,D007153
C0003431,D000987
C0003460,D001002
C0003463,D001005
C0003466,D001006
C0003467,D001007
C0003469,D001008
C0003477,D001010
C0003486,D001014
C0003493,D001018
C0003496,D001019
C0003499,D021921
C0003504,D001022
C0003510,D013625
C0003537,D001037
C0003546,D001037
C0003578,D001049
C0003615,D001064
C0003621,D001068
C0003635,D001072
C0003706,D054119
C0003756,D001117
C0003803,D001139
C0003811,D001145
C0003838,D001157
C0003850,D001161
C0003857,D001165
C0003860,D001167
C0003862,D018771
C0003864,D001168
C0003865,D001169
C0003868,D015210
C0003869,D001170
C0003872,D015535
C0003873,D001172
C0003875,D001170
C0003949,D001195
C0003962,D001201
C0004030,D001228
C0004044,D001237
C0004045,D001238
C0004048,D001239
C0004093,D001247
C0004096,D001249
C0004114,D001254
C0004134,D001259
C0004135,D001260
C0004138,D013132
C0004153,D050197
C0004238,D001281
C0004245,D054537
C0004310,D001308
C0004331,D006327
C0004352,D001321
C0004364,D001327
C0004368,D015551
C0004403,D002869
C0004444,D010554
C0004509,D053713
C0004565,D008546
C0004604,D001416
C0004610,D016470
C0004623,D001424
C0004681,D011009
C0004698,D001449
C0004712,D002549
C0004763,D001471
C0004775,D001477
C0004779,D001478
C0004782,D001480
C0004903,D001506
C0004930,D001523
C0004936,D001523
C0004943,D001528
C0005129,D001606
C0005136,D002532
C0005138,D001607
C0005283,D017086
C0005395,D001649
C0005396,D001650
C0005398,D001651
C0005411,D001656
C0005426,D001661
C0005586,D001714
C0005587,D001714
C0005612,D001724
C0005683,D001744
C0005684,D001749
C0005686,D001745
C0005689,D001746
C0005694,D001748
C0005695,D001749
C0005697,D001750
C0005699,D001752
